#Deco_Type|Place_On|FillRatio|Biome|Y_Min|Y_Max|Deco_Node|HeightMax|SpawnBy|NumSpawnBy|||
# HOT HUMID||||||||||||
# HOT HUMID OCEAN||||||||||||
#||||||||||||
# HOT HUMID BEACH||||||||||||
trees|gal:dirt_silt_01|0.8|hot_humid_beach|1|3|mangrove_black_01;mangrove_black_02;mangrove_black_03||||||
trees|gal:dirt_silt_01|0.8|hot_humid_beach|-1|1|mangrove_red_01;mangrove_red_02;mangrove_red_03||||||
#plants|gal:tree_mangrove_root|0.02|hot_humid_beach|0|2|tree_mangrove_sapling|nil|nil|nil|||
plants|gal:dirt_silt_01|0.02|hot_humid_beach|0|2|tree_mangrove_black_sapling|nil|nil|nil|||
# HOT HUMID - DIRT WITH RAINFOREST LITTER||||||||||||
trees|gal:dirt_with_litter_rainforest|0.004|hot_humid|coastal|shelf|cocoa_01;cocoa_02|nil|nil|nil|||
trees|gal:dirt_with_litter_rainforest|0.004|hot_humid|lowland|highland|capirona_01;capirona_02||||||
trees|gal:dirt_with_litter_rainforest|0.004|hot_humid|beach|lowland|ebony||||||
trees|gal:dirt_with_litter_rainforest|0.004|hot_humid|lowland|highland|jungle_01;jungle_02;jungle_04;jungle_05;jungle_06;jungle_07||||||
trees|gal:dirt_with_litter_rainforest|0.004|hot_humid|coastal|shelf|kapok_01;kapok_02|nil|nil|nil|||
trees|gal:dirt_with_litter_rainforest|0.004|hot_humid|beach|lowland|mahogany||||||
trees|gal:dirt_with_litter_rainforest|0.004|hot_humid|beach|lowland|rubber_01;rubber_02;rubber_03;rubber_04||||||
trees|gal:dirt_with_litter_rainforest|0.004|hot_humid|coastal|shelf|bamboo_tropical_01;bamboo_tropical_02;bamboo_tropical_03;bamboo_tropical_04||||||
trees|gal:dirt_with_litter_rainforest|0.004|hot_humid|beach|coastal|palm_fountain_01;palm_fountain_02;palm_fountain_03||||||
trees|gal:dirt_with_litter_rainforest|0.004|hot_humid|coastal|shelf|palm_jungle_01;palm_jungle_02||||||
trees|gal:dirt_with_litter_rainforest|0.004|hot_humid|beach|lowland|palm_moriche_01;palm_moriche_02;palm_moriche_03||||||
trees|gal:dirt_with_litter_rainforest|0.004|hot_humid|beach|lowland|bamboo_small||||||
plants|gal:dirt_with_litter_rainforest|0.08|hot_humid|beach|highland|grass_bamboo_grass||||||
plants|gal:dirt_with_litter_rainforest|0.08|hot_humid|beach|highland|grass_jungle||||||
plants|gal:dirt_with_litter_rainforest|0.08|hot_humid|coastal|highland|flower_hibiscus||||||
plants|gal:dirt_with_litter_rainforest|0.08|hot_humid|lowland|highland|flower_orchid||||||
plants|gal:dirt_with_litter_rainforest|0.001|hot_humid|coastal|highland|plant_creeper||||||
plants|gal:dirt_with_litter_rainforest|0.001|hot_humid|coastal|highland|plant_gourd_bottle_1||||||
plants|gal:dirt_with_litter_rainforest|0.08|hot_humid|coastal|shelf|plant_small_jungle_tree||||||
plants|gal:dirt_with_litter_rainforest|0.08|hot_humid|coastal|highland|shrub_jungle||||||
# HOT HUMID - DIRT WITH FUNGI||||||||||||
shroom|gal:dirt_with_litter_fungi|0.005|hot_humid|beach|shelf|mushroom_big-B=mushroom_cap_green_dk_spotted,H=mushroom_02_trunk||||||
shroom|gal:dirt_with_litter_fungi|0.005|hot_humid|beach|shelf|mushroom_fat-B=mushroom_cap_brown_02,H=mushroom_01_trunk||||||
shroom|gal:dirt_with_litter_fungi|0.005|hot_humid|beach|shelf|mushroom_giant_morel-B=mushroom_cap_brown_01,H=mushroom_01_trunk||||||
shroom|gal:dirt_with_litter_fungi|0.005|hot_humid|beach|shelf|mushroom_giant_morel_large-B=mushroom_cap_red_spotted,H=mushroom_01_trunk||||||
shroom|gal:dirt_with_litter_fungi|0.005|hot_humid|beach|shelf|mushroom_giant_tall-B=mushroom_cap_purple_spotted,H=mushroom_01_trunk||||||
shroom|gal:dirt_with_litter_fungi|0.005|hot_humid|beach|shelf|mushroom_large-B=mushroom_cap_green_spotted,H=mushroom_02_trunk||||||
shroom|gal:dirt_with_litter_fungi|0.005|hot_humid|beach|highland|mushroom_short-B=mushroom_cap_yellow_spotted,H=mushroom_01_trunk||||||
shroom|gal:dirt_with_litter_fungi|0.005|hot_humid|beach|coastal|mushroom_tall-B=mushroom_cap_cyan_spotted,H=mushroom_01_trunk||||||
shroom|gal:dirt_with_litter_fungi|0.005|hot_humid|beach|lowland|mushroom_3a-B=mushroom_small_cap_01,H=mushroom_small_trunk||||||
shroom|gal:dirt_with_litter_fungi|0.005|hot_humid|beach|lowland|mushroom_3b-B=mushroom_small_cap_02,H=mushroom_small_trunk||||||
# HOT HUMID - DIRT BLACK WITH RAINFOREST LITTER||||||||||||
trees|gal:dirt_silt_01_with_litter_rainforest|0.004|hot_humid|coastal|shelf|bamboo_tropical_01;bamboo_tropical_02;bamboo_tropical_03;bamboo_tropical_04||||||
no_rot|gal:dirt_silt_01_with_litter_rainforest|0.004|hot_humid|coastal|shelf|gal.big_tree_fern||||||
no_rot|gal:dirt_silt_01_with_litter_rainforest|0.004|hot_humid|lowland|shelf|gal.giant_tree_fern||||||
no_rot|gal:dirt_silt_01_with_litter_rainforest|0.004|hot_humid|lowland|shelf|gal.giant_tree_fern_2||||||
trees|gal:dirt_silt_01_with_litter_rainforest|0.004|hot_humid|beach|lowland|fern_small_01;fern_small_02;fern_small_03|nil|nil|nil|||
trees|gal:dirt_silt_01_with_litter_rainforest|0.004|hot_humid|beach|lowland|fern_silver_01;fern_silver_02|nil|nil|nil|||
trees|gal:dirt_silt_01_with_litter_rainforest|0.004|hot_humid|beach|lowland|cabbage_01;cabbage_02|nil|nil|nil|||
trees|gal:dirt_silt_01_with_litter_rainforest|0.004|hot_humid|beach|lowland|mamaku_01;mamaku_02|nil|nil|nil|||
trees|gal:dirt_silt_01_with_litter_rainforest|0.004|hot_humid|beach|lowland|wheki_01;wheki_02|nil|nil|nil|||
plants|gal:dirt_silt_01_with_litter_rainforest|0.08|hot_humid|beach|highland|grass_jungle||||||
plants|gal:dirt_silt_01_with_litter_rainforest|0.08|hot_humid|beach|shelf|fern_broadleaf_fern|nil|nil|nil|||
plants|gal:dirt_silt_01_with_litter_rainforest|0.08|hot_humid|coastal|lowland|fern_ladyfern|nil|nil|nil|||
plants|gal:dirt_silt_01_with_litter_rainforest|0.08|hot_humid|beach|lowland|fern_large_1|nil|nil|nil|||
plants|gal:dirt_silt_01_with_litter_rainforest|0.08|hot_humid|beach|lowland|fern_small_1|nil|nil|nil|||
plants|gal:dirt_silt_01_with_litter_rainforest|0.08|hot_humid|beach|shelf|fern_spikefern|nil|nil|nil|||
plants|gal:dirt_silt_01_with_litter_rainforest|0.001|hot_humid|coastal|highland|flower_hibiscus||||||
plants|gal:dirt_silt_01_with_litter_rainforest|0.001|hot_humid|lowland|highland|flower_orchid|nil|nil|nil|||
plants|gal:dirt_silt_01_with_litter_rainforest|0.001|hot_humid|coastal|highland|plant_gourd_bottle_1||||||
plants|gal:dirt_silt_01_with_litter_rainforest|0.001|hot_humid|coastal|highland|plant_creeper||||||
plants|gal:dirt_silt_01_with_litter_rainforest|0.001|hot_humid|beach|lowland|plant_pineapple_plant|nil|nil|nil|||
plants|gal:dirt_silt_01_with_litter_rainforest|0.08|hot_humid|coastal|shelf|plant_small_jungle_tree|nil|nil|nil|||
plants|gal:dirt_silt_01_with_litter_rainforest|0.08|hot_humid|coastal|highland|shrub_lush_01|nil|nil|nil|||
# HOT HUMID - DIRT BROWN WITH RAINFOREST LITTER||||||||||||
trees|gal:dirt_clay_red_with_litter_rainforest|0.004|hot_humid|lowland|shelf|capirona_01;capirona_02||||||
trees|gal:dirt_clay_red_with_litter_rainforest|0.004|hot_humid|beach|lowland|ebony||||||
trees|gal:dirt_clay_red_with_litter_rainforest|0.004|hot_humid|lowland|highland|jungle_01;jungle_02;jungle_04;jungle_05;jungle_06;jungle_07||||||
trees|gal:dirt_clay_red_with_litter_rainforest|0.004|hot_humid|coastal|shelf|kapok_01;kapok_02||||||
trees|gal:dirt_clay_red_with_litter_rainforest|0.004|hot_humid|beach|lowland|mahogany||||||
trees|gal:dirt_clay_red_with_litter_rainforest|0.004|hot_humid|beach|lowland|palm_fountain_01;palm_fountain_02;palm_fountain_03||||||
trees|gal:dirt_clay_red_with_litter_rainforest|0.004|hot_humid|beach|shelf|palm_jungle_01;palm_jungle_02||||||
trees|gal:dirt_clay_red_with_litter_rainforest|0.004|hot_humid|beach|lowland|palm_moriche_01;palm_moriche_02;palm_moriche_03||||||
plants|gal:dirt_clay_red_with_litter_rainforest|0.001|hot_humid|coastal|highland|flower_hibiscus|nil|nil|nil|||
plants|gal:dirt_clay_red_with_litter_rainforest|0.001|hot_humid|lowland|highland|flower_orchid|nil|nil|nil|||
plants|gal:dirt_clay_red_with_litter_rainforest|0.001|hot_humid|shelf|highland|plant_creeper|nil|nil|nil|||
plants|gal:dirt_clay_red_with_litter_rainforest|0.001|hot_humid|shelf|highland|plant_gourd_bottle_1|nil|nil|nil|||
plants|gal:dirt_clay_red_with_litter_rainforest|0.001|hot_humid|beach|lowland|plant_pineapple_plant|nil|nil|nil|||
plants|gal:dirt_clay_red_with_litter_rainforest|0.08|hot_humid|coastal|shelf|plant_small_jungle_tree|nil|nil|nil|||
plants|gal:dirt_clay_red_with_litter_rainforest|0.08|hot_humid|beach|highland|shrub_jungle|nil|nil|nil|||
plants|gal:dirt_clay_red_with_litter_rainforest|0.08|hot_humid|beach|highland|shrub_lush_01|nil|nil|nil|||
# HOT HUMID - DIRT CLAYEY WITH RAINFOREST LITTER||||||||||||
trees|gal:dirt_clayey_with_litter_rainforest|0.004|hot_humid|lowland|shelf|capirona_01;capirona_02||||||
trees|gal:dirt_clayey_with_litter_rainforest|0.004|hot_humid|lowland|shelf|jungle_01;jungle_02;jungle_04;jungle_05;jungle_06;jungle_07||||||
trees|gal:dirt_clayey_with_litter_rainforest|0.004|hot_humid|beach|lowland|mahogany||||||
trees|gal:dirt_clayey_with_litter_rainforest|0.004|hot_humid|beach|shelf|bamboo_tropical_01;bamboo_tropical_02;bamboo_tropical_03;bamboo_tropical_04||||||
trees|gal:dirt_clayey_with_litter_rainforest|0.004|hot_humid|beach|lowland|palm_fountain_01;palm_fountain_02;palm_fountain_03||||||
trees|gal:dirt_clayey_with_litter_rainforest|0.004|hot_humid|beach|shelf|palm_jungle_01;palm_jungle_02||||||
trees|gal:dirt_clayey_with_litter_rainforest|0.004|hot_humid|beach|lowland|palm_moriche_01;palm_moriche_02;palm_moriche_03||||||
trees|gal:dirt_clayey_with_litter_rainforest|0.08|hot_humid|beach|lowland|bamboo_small||||||
plants|gal:dirt_clayey_with_litter_rainforest|0.08|hot_humid|beach|highland|grass_bamboo_grass||||||
plants|gal:dirt_clayey_with_litter_rainforest|0.001|hot_humid|beach|lowland|plant_pineapple_plant|nil|nil|nil|||
plants|gal:dirt_clayey_with_litter_rainforest|0.08|hot_humid|coastal|shelf|plant_small_jungle_tree|nil|nil|nil|||
plants|gal:dirt_clayey_with_litter_rainforest|0.08|hot_humid|beach|highland|shrub_lush_01|nil|nil|nil|||
# HOT HUMID - DIRT SANDY WITH RAINFOREST LITTER||||||||||||
trees|gal:dirt_sandy_with_litter_rainforest|0.004|hot_humid|beach|lowland|palm_fountain_01;palm_fountain_02;palm_fountain_03||||||
